ISAR-04 Filter Function
16 05 11		
	KT15.85 SN11971		
    12.SPK        Pyroelektrischer Detektor (LiTaO3)		
    160.SPK        9.6 - 11.5		
    microns           relative response    steps in microns        #steps
# error	9.40	11.8	0.06	40
	9.4		0.000		
	9.43	2.54631
	9.49	5.793331
	9.55	9.668717
	9.61	14.968266
	9.67	24.493301
	9.73	34.960308
	9.79	45.626378
	9.85	50.791858
	9.91	54.246059
	9.97	57.81366
	10.03	59.618147
	10.09	59.564821
	10.15	59.498671
	10.21	59.664674
	10.27	67.451023
	10.33	66.894956
	10.39	66.25033
	10.45	65.625707
	10.51	65.522968
	10.57	65.577193
	10.63	65.622867
	10.69	66.302045
	10.75	67.630746
	10.81	68.972272
	10.87	66.407322
	10.93	50.950737
	10.99	34.240797
	11.05	17.971729
	11.11	10.918391
	11.17	6.826609
	11.23	2.828826
	11.8	0.0000
