% 21.10.1999
%name = 'KT15.85   S/N 3474';
% 12.SPK        Pyroelektrischer Detektor (LiTaO3)
% 160.SPK        9.6 - 11.5 um
% Microns             Rel. Response
% microns            rel response
9.300000	      1.00
9.430000            2.546310
9.490000            5.793331
9.550000            9.668717
9.610000           14.968266
9.670000           24.493301
9.730000           34.960308
9.790000           45.626378
9.850000           50.791858
9.910000           54.246059
9.970000           57.813660
10.030000           59.618147
10.090000           59.564821
10.150000           59.498671
10.210000           59.664674
10.270000           60.626505
10.330000           61.658131
10.390000           62.685701
10.450000           63.556171
10.510000           65.209094
10.570000           65.924249
10.630000           66.522749
10.690000           67.121249
10.750000           67.451023
10.810000           66.894956
10.870000           66.250330
10.930000           65.625707
10.990000           65.522968
11.050000           65.577193
11.110000           65.622867
11.170000           66.302045
11.230000           67.630746
11.290000           68.972272
11.350000           66.407322
11.410000           50.950737
11.470000           34.240797
11.530000           17.971729
11.590000           10.918391
11.650000            6.826609
11.710000            2.828826
11.800000	      0.5
